lat,lon,temp_c,humidity,pressure_mb,windspeed_kph,aqi_index,pm2_5,pm10,co,no2
28.5882,77.0494,17.6,65,992.8,8.6,194,103.1,109.4,1038,11.6
28.5882,77.0494,18.1,64,992.1,9.0,194,95.2,100.6,1021,12.9
28.5882,77.0494,18.2,64,991.9,8.8,194,92.7,97.1,1112,22.2
28.5882,77.0494,17.5,69,991.9,6.0,194,97.1,100.4,1273,36.1
28.5882,77.0494,15.7,78,991.8,5.2,194,138.8,144.4,1434,61.1
28.5882,77.0494,13.6,80,992.7,5.2,194,154.6,159.7,1583,70.8
28.5882,77.0494,13.1,83,992.8,5.2,194,168.6,173.2,1733,84.2
28.5882,77.0494,12.2,86,993.0,3.8,194,182.5,186.7,1857,93.2
28.5882,77.0494,11.3,89,993.3,3.8,194,196.0,200.2,1955,94.8
28.5273,77.2618,9.9,94,990.6,7.0,197,162.5,165.3,1435,43.5
28.5273,77.2618,9.1,96,989.8,5.3,196,154.6,157.9,1341,33.1
28.5273,77.2618,9.1,96,989.5,7.2,196,147.1,150.4,1274,24.6
28.5273,77.2618,8.8,97,989.5,8.9,195,139.7,142.5,1237,18.8
28.5273,77.2618,8.6,98,989.3,9.4,195,132.7,136.0,1226,14.9
28.5273,77.2618,8.8,97,989.5,10.4,195,135.0,138.3,1267,15.4
28.5273,77.2618,9.1,97,990.4,9.4,194,131.3,135.0,1415,20.7
28.5273,77.2618,9.1,96,990.7,10.0,194,138.8,142.5,1615,27.7
28.5273,77.2618,10.1,93,991.7,9.7,193,143.4,147.6,1730,31.6
28.5273,77.2618,11.8,89,992.5,7.5,194,146.2,149.9,1685,29.3
28.5273,77.2618,13.9,80,992.8,7.1,194,136.0,141.1,1554,23.9
28.5273,77.2618,15.7,72,992.3,7.0,194,126.2,131.8,1424,19.1
28.5273,77.2618,17.0,67,991.5,7.3,194,114.3,120.6,1287,15.0
28.5273,77.2618,18.0,64,990.7,7.9,194,103.1,109.4,1150,11.6
28.5273,77.2618,18.5,61,989.9,8.4,194,95.2,100.6,1126,12.9
28.5273,77.2618,18.5,61,989.7,8.5,194,92.7,97.1,1305,22.2
28.5273,77.2618,17.9,67,989.9,6.9,194,97.1,100.4,1596,36.1
28.5273,77.2618,16.0,76,989.7,5.8,194,138.8,144.4,1841,61.1
28.5273,77.2618,13.6,83,990.6,5.1,194,154.6,159.7,1989,70.8
28.5273,77.2618,10.3,93,990.9,4.2,196,202.1,206.3,1988,86.8
28.7041,77.1025,8.7,97,991.4,5.7,197,167.6,170.4,1372,35.3
28.7041,77.1025,8.2,97,990.8,4.8,197,163.0,165.8,1306,27.3
28.7041,77.1025,7.3,98,990.4,5.4,197,157.9,160.7,1262,21.0
28.7041,77.1025,7.8,98,990.4,6.4,196,151.8,154.6,1246,17.0
